[1.01, 2.54, 2.23, 1.27, 1.55, 1.86, 2.82, 3.44, 3.05, 0.66, 2.69, 2.76, 2.3, 3.54, 1.13, 1.96, 1.1, 2.8, 2.03, 1.86, 2.6, 0.82, 1.9, 2.45, 1.55, 1.36, 3.05, 2.68, 1.79, 0.94, 1.19, 1.09, 2.23, 1.57, 2.12, 2.34, 0.97, 0.8, 2.1, 1.55, 2.37, 3.85, 3.49, 1.39, 1.35, 1.61, 1.65, 2.46, 3.22, 2.01, 2.48, 3.15, 2.1, 1.65, 4.15, 1.2, 1.3, 2.11, 0.73, 3.11, 2.07, 0.77, 1.73, 1.88, 1.75, 2.39, 3.72, 3.52, 1.44, 2.55, 1.44, 2.23, 2.09, 2.47, 2.14, 2.14, 1.0, 2.74, 0.86, 1.83, 1.77, 3.04, 1.69, 2.87, 3.47, 3.28, 4.23, 1.48, 0.89, 1.73, 2.65, 1.06, 2.01, 1.32, 3.4, 2.14, 2.42, 2.32, 2.77, 2.6]
[0.85, 2.27, 2.99, 1.49, 1.95, 1.84, 1.68, 1.31, 3.47, 0.53, 2.31, 4.14, 2.53, 2.1, 0.8, 2.32, 1.73, 1.86, 1.16, 1.37, 4.22, 0.97, 1.44, 3.56, 1.09, 3.29, 1.36, 2.89, 2.3, 0.6, 2.5, 1.54, 2.75, 2.08, 3.9, 2.25, 1.26, 1.92, 3.53, 2.93, 1.46, 3.19, 3.32, 1.25, 1.21, 2.7, 1.73, 2.54, 3.59, 1.82, 3.47, 2.8, 2.43, 2.57, 3.32, 1.81, 0.71, 3.78, 1.13, 4.35, 2.31, 0.99, 3.57, 3.29, 1.76, 2.44, 3.4, 3.62, 1.26, 3.37, 3.19, 2.94, 1.56, 2.4, 1.32, 2.2, 1.37, 2.23, 1.23, 2.05, 0.76, 2.66, 2.33, 2.96, 3.55, 2.41, 3.83, 1.4, 3.08, 1.05, 1.97, 2.73, 3.14, 1.73, 3.18, 4.56, 3.04, 5.14, 2.96, 1.98]
[1.19, 3.4, 2.37, 4.99, 3.14, 2.69, 1.71, 3.53, 3.47, 1.58, 2.49, 3.71, 2.23, 2.63, 2.57, 3.08, 4.13, 4.13, 2.89, 4.35, 3.18, 3.83, 2.59, 2.46, 3.02, 3.59, 2.5, 3.5, 1.73, 2.03, 2.76, 2.37, 3.16, 2.65, 2.26, 5.41, 1.82, 2.37, 4.13, 2.37, 2.63, 3.45, 2.38, 1.83, 2.08, 2.85, 2.78, 2.55, 4.36, 2.95, 2.36, 3.58, 3.58, 3.83, 3.76, 2.2, 2.91, 2.69, 0.78, 6.2, 3.07, 2.22, 3.72, 3.28, 1.99, 2.57, 5.09, 3.52, 1.59, 3.4, 3.92, 2.82, 1.57, 3.76, 2.31, 1.54, 1.13, 4.49, 1.71, 3.8, 2.34, 2.01, 2.22, 3.67, 3.77, 4.07, 3.56, 2.98, 2.23, 2.12, 2.44, 1.21, 3.02, 2.27, 1.68, 4.11, 5.02, 5.01, 3.49, 3.66]
[5.85, 5.26, 4.23, 5.75, 3.3, 4.26, 5.56, 6.08, 4.52, 2.93, 4.3, 5.21, 3.36, 4.67, 4.65, 4.86, 4.68, 6.03, 2.28, 3.86, 5.58, 6.96, 3.47, 5.0, 4.23, 6.42, 5.22, 4.57, 4.79, 3.62, 3.73, 6.4, 4.47, 3.77, 4.31, 4.34, 4.73, 5.14, 5.67, 3.73, 3.95, 7.28, 4.99, 5.11, 4.03, 6.72, 3.56, 3.56, 4.28, 5.84, 5.8, 7.22, 5.16, 6.22, 6.27, 4.35, 3.04, 4.33, 5.9, 5.96, 5.13, 3.9, 4.8, 5.88, 3.64, 4.45, 5.86, 5.49, 6.34, 4.33, 4.22, 5.92, 4.21, 4.51, 4.99, 2.76, 5.39, 4.82, 3.58, 6.97, 4.15, 4.19, 5.33, 3.36, 5.04, 3.75, 6.15, 4.62, 4.5, 4.17, 3.45, 3.33, 6.54, 4.63, 5.45, 3.71, 3.21, 4.92, 3.41, 4.41]

[0.04, 1.15, 0.13, 1.93, 0.46, 0.28, 1.29, 0.77, 0.69, 0.07, 1.11, 0.49, 0.19, 0.62, 0.46, 0.4, 0.23, 0.74, 0.16, 0.82, 1.64, 1.14, 1.24, 0.57, 0.09, 1.26, 0.52, 0.64, 0.14, 0.17, 0.27, 0.09, 0.88, 1.47, 0.21, 1.68, 0.09, 0.19, 0.63, 1.24, 0.57, 1.86, 1.4, 0.45, 0.28, 0.47, 0.25, 0.49, 1.43, 0.32, 0.22, 1.56, 0.58, 0.44, 0.65, 0.28, 0.17, 0.6, 0.03, 1.78, 0.38, 0.04, 0.08, 1.0, 0.8, 0.68, 0.75, 1.38, 0.1, 0.43, 0.3, 0.41, 1.03, 1.01, 0.25, 0.14, 0.15, 0.98, 0.18, 0.41, 0.21, 1.09, 0.19, 0.47, 1.41, 0.51, 0.87, 0.26, 0.37, 0.17, 0.42, 0.24, 0.24, 0.13, 0.42, 0.45, 0.73, 0.64, 0.33, 0.71]
[0.04, 0.31, 0.14, 0.31, 0.31, 1.25, 1.16, 0.84, 1.65, 0.03, 1.24, 0.77, 0.26, 0.78, 1.13, 0.29, 0.16, 0.69, 0.88, 1.89, 0.67, 0.3, 1.15, 0.9, 0.19, 1.51, 0.41, 0.36, 0.27, 0.29, 0.99, 0.09, 1.4, 0.65, 1.13, 0.95, 0.41, 0.17, 1.4, 2.18, 0.34, 1.18, 0.93, 0.13, 0.13, 0.27, 0.54, 0.52, 3.4, 0.35, 0.27, 1.47, 0.27, 1.28, 1.43, 0.2, 0.22, 2.67, 0.08, 3.06, 0.68, 0.05, 1.35, 1.82, 0.85, 0.37, 1.04, 1.43, 0.26, 0.29, 0.3, 0.61, 0.47, 1.48, 0.14, 0.97, 0.13, 0.95, 0.18, 0.27, 0.08, 0.72, 0.33, 0.64, 1.41, 1.3, 1.66, 0.12, 0.35, 0.09, 0.16, 0.1, 0.53, 0.19, 0.48, 1.8, 1.1, 1.33, 0.51, 0.64]
[0.24, 1.65, 0.95, 2.36, 0.5, 1.24, 0.89, 1.59, 2.26, 0.15, 1.19, 0.89, 1.44, 1.68, 0.95, 3.42, 1.62, 2.12, 1.6, 2.87, 2.17, 1.11, 1.2, 0.69, 0.44, 1.73, 1.32, 0.64, 0.27, 0.89, 0.99, 0.87, 2.13, 2.33, 0.62, 0.83, 0.57, 0.84, 2.9, 1.56, 0.74, 0.77, 0.97, 1.2, 0.59, 0.95, 1.41, 1.24, 2.75, 0.85, 0.96, 2.51, 1.85, 0.82, 2.49, 0.27, 0.68, 1.44, 0.12, 4.84, 2.01, 0.15, 2.09, 0.99, 0.51, 0.55, 2.81, 2.56, 0.84, 1.9, 1.97, 1.05, 0.65, 1.37, 1.18, 0.14, 0.42, 2.42, 0.72, 1.99, 1.78, 0.71, 0.97, 2.58, 2.39, 1.56, 2.59, 0.59, 0.55, 0.2, 0.53, 1.15, 0.52, 0.55, 0.58, 2.18, 1.62, 1.94, 2.5, 1.8]
[2.97, 3.18, 2.34, 4.53, 2.18, 2.88, 2.93, 5.55, 2.12, 0.78, 1.46, 2.67, 0.71, 1.56, 2.53, 2.78, 1.79, 2.9, 1.71, 2.33, 3.14, 3.36, 2.77, 2.5, 2.18, 2.59, 1.73, 1.37, 2.09, 2.26, 0.85, 2.72, 2.87, 1.74, 1.61, 3.33, 2.4, 2.9, 3.66, 2.5, 3.28, 6.21, 3.48, 3.19, 2.15, 4.69, 2.5, 1.67, 3.3, 2.67, 3.57, 5.09, 3.36, 3.01, 3.04, 1.54, 0.75, 3.68, 2.77, 3.95, 3.61, 1.49, 2.57, 2.97, 2.72, 4.18, 2.36, 3.89, 3.03, 3.14, 2.27, 3.09, 2.04, 1.7, 2.8, 1.01, 1.8, 3.61, 1.25, 4.35, 2.35, 1.62, 3.05, 2.34, 3.62, 2.31, 3.35, 3.79, 2.85, 2.01, 2.4, 1.9, 2.21, 3.21, 2.17, 1.37, 0.99, 3.8, 2.42, 2.03]

